Designator,Mid X,Mid Y,Rotation,Layer
C18,24.4,-5.0,270.0,top
C24,25.4,-5.0,270.0,top
CN1,-25.095,2.8,0.0,top
CN2,-25.075,-2.8,0.0,top
CN3,0.0,-2.4,0.0,top
CN5,0.0,2.645,0.0,top
CN6,25.0,3.455,180.0,top
D5,-7.7,-2.0,270.0,top
D7,-17.0,-0.7,90.0,top
R5,22.6,-0.2,180.0,top
R7,-15.7,-0.7,90.0,top
R9,7.5,-1.4,90.0,top
